Management Trainee - Production,https://www.rozee.pk/texdale-pvt-management-trainee-production-lahore-jobs-1559788?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559788&utm_campaign=ROZEE.PK_job_search,Texdale Pvt.,//www.rozee.pk/company/texdale-pvt,Lahore,"PKR. 70,000 - 80,000/Month",24 views,Posted Recently,Null,"Admin Operations Management,Communication Skills,Coordination Skills,Lab Equipment",Textiles / Garments,Product Management,4 Posts,First Shift (Day),Full Time/Permanent,Lahore,No Preference,Masters,Entry Level,Less than 1 Year,"Jan 25, 2025","Dec 26, 2024"
Graphic Designer,https://www.rozee.pk/val-group-graphic-designer-lahore-jobs-1560074?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560074&utm_campaign=ROZEE.PK_job_search,Val Group,//www.rozee.pk/company/val-group,Lahore,"PKR. 30,000 - 45,000/Month",11 views,Posted Recently,Null,"Creative Desigin,Social Media Handling,Communication Skills,2D Graphics,Graphics Software  Command",Education/Training,Creative Design,1 Post,Hybrid Work Model,Full Time/Permanent,Lahore,No Preference,Bachelors,Experienced Professional,4 Years,"Jan 27, 2025","Dec 26, 2024"
Franchise Sales / Business Development Executive,https://www.rozee.pk/remax-pakistan-franchise-sales-business-development-executive-faisalabad-gujranwala-lahore-multan-sialkot-okara-jobs-1560078?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560078&utm_campaign=ROZEE.PK_job_search,REMAX Pakistan,//www.rozee.pk/company/remax-pakistan,Multiple Cities,"PKR. 70,000 - 400,000/Month",39 views,Posted Recently,Null,"Presentation Skills,Communication Skills,Sales Growth,Business Development,Sales Management,Business Development Strategies,Marketing Strategies",Real Estate/Property,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,"Faisalabad, Gujranwala, Lahore, Multan, Sialkot, Okara",No Preference,Bachelors,Entry Level,Less than 1 Year,"Jan 27, 2025","Dec 26, 2024"
HR Coordinator,https://www.rozee.pk/afaqg-ltd-hr-coordinator-lahore-jobs-1560048?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560048&utm_campaign=ROZEE.PK_job_search,Afaq(G) Ltd,//www.rozee.pk/company/afaqg-ltd,Lahore,"PKR. 40,000 - 50,000/Month",27 views,Posted 2 hours ago,Null,"Computer Proficient,Record Keeping,Communication Skills,Coordination Skills",Education/Training,Human Resources,1 Post,First Shift (Day),Full Time/Permanent,Lahore,Male,Bachelors,Experienced Professional,3 Years,"Jan 27, 2025","Dec 26, 2024"
Business Development Executive / Upwork Bidder,https://www.rozee.pk/rsf-soft-business-development-executive-upwork-bidder-lahore-jobs-1560068?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560068&utm_campaign=ROZEE.PK_job_search,RSF Soft,//www.rozee.pk/company/rsf-soft,Lahore,"PKR. 100,000 - 250,000/Month",7 views,Posted 2 hours ago,Null,"Bidding Strategies,Business Development Strategies,Business Development Process",Information Technology,Sales & Business Development,1 Post,Hybrid Work Model,Full Time/Permanent,Lahore,No Preference,Bachelors,Experienced Professional,4 Years,"Dec 29, 2024","Dec 26, 2024"
Accounts / Finance Manager,https://www.rozee.pk/global-business-bridge-pvt-ltd-accounts-finance-manager-lahore-jobs-1560030?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560030&utm_campaign=ROZEE.PK_job_search,Global Business Bridge Pvt Ltd,//www.rozee.pk/company/global-business-bridge-pvt-ltd,Lahore,"PKR. 40,000 - 60,000/Month",31 views,Posted 2 hours ago,Null,"MS Excel,Strategic Financial Planning,Strategic Finance,Commercial Finance Knowledge,Corporate Finance",Accounting / Taxation,"Accounts, Finance & Financial Services",1 Post,Second Shift (Afternoon),Full Time/Permanent,Lahore,Male,Bachelors,Experienced Professional,2 Years,"Jan 27, 2025","Dec 26, 2024"
Customer Sales Representative,https://www.rozee.pk/rsf-soft-customer-sales-representative-lahore-jobs-1560042?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560042&utm_campaign=ROZEE.PK_job_search,RSF Soft,//www.rozee.pk/company/rsf-soft,Lahore,"PKR. 25,000 - 50,000/Month",18 views,Posted 2 hours ago,Null,"Coordination Skills,Sales Management,Communication Skills,Fluent in English",Information Technology,Sales & Business Development,10 Posts,First Shift (Day),Full Time/Permanent,Lahore,No Preference,Intermediate/A-Level,Entry Level,Fresh,"Jan 02, 2025","Dec 26, 2024"
Sales Specialist - Call Center,https://www.rozee.pk/arkhitech-sales-specialist-call-center-islamabad-lahore-jobs-1560044?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560044&utm_campaign=ROZEE.PK_job_search,Arkhitech,//www.rozee.pk/company/arkhitech,Multiple Cities,"PKR. 50,000 - 100,000/Month",11 views,Posted 2 hours ago,Null,"Fluent in English,Close Attention to Detail,Communication Skills",Information Technology,Sales & Business Development,4 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Lahore",No Preference,Bachelors,Entry Level,1 Year,"Jan 26, 2025","Dec 26, 2024"
Dispatching Agent,https://www.rozee.pk/limo-service-dispatching-agent-lahore-jobs-1559852?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559852&utm_campaign=ROZEE.PK_job_search,Limo Service,//www.rozee.pk/company/limo-service1,Lahore,"PKR. 30,000 - 40,000/Month",18 views,Posted 2 hours ago,Null,"Dispatch Skills,Email List Management,Coordination Skills",Call Center,Client Services & Customer Support,1 Post,First Shift (Day),Full Time/Permanent,Lahore,No Preference,Intermediate/A-Level,Entry Level,Less than 1 Year,"Jan 26, 2025","Dec 26, 2024"
Rigger,https://www.rozee.pk/al-hadi-placement-services-rigger-islamabad-faisalabad-lahore-rawalpindi-abbottabad-attock-muzaffarabad-jobs-1560008?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1560008&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 150,000 - 250,000/Month",35 views,Posted 2 hours ago,Null,"Coordination Skills,Communication Skills,Commercial Driving",Recruitment / Employment Firms,Architects & Construction,30 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Lahore, Rawalpindi, Abbottabad, Attock, Muzaffarabad",No Preference,Certification,Experienced Professional,5 Years,"Jan 27, 2025","Dec 26, 2024"
