Management Trainee,https://www.rozee.pk/leading-petroleum-company-management-trainee-faisalabad-karachi-lahore-rawalpindi-jobs-1559618?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559618&utm_campaign=ROZEE.PK_job_search,Leading Petroleum Company,//www.rozee.pk/company/leading-petroleum-company,Multiple Cities,N/A,853 views,Posted 2 days ago,Null,"Time Management,Interpersonal Skills,MS Excel",Mining / Petroleum,"Teachers/Education, Training & Development",18 Posts,First Shift (Day),Full Time/Permanent,"Faisalabad, Karachi, Lahore, Rawalpindi",No Preference,Masters,Entry Level,N/A,"Jan 11, 2025","Dec 24, 2024"
Civil Engineer,https://www.rozee.pk/al-hadi-placement-services-civil-engineer-islamabad-faisalabad-rawalpindi-abbottabad-attock-swabi-taxila-jobs-1559874?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559874&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 200,000 - 350,000/Month",196 views,Posted Yesterday,Null,"Multiple Projects Handling,Analytical Skills,Software Design",Recruitment / Employment Firms,Engineering,10 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Rawalpindi, Abbottabad, Attock, Swabi, Taxila",Male,Bachelors,Experienced Professional,3 Years,"Jan 26, 2025","Dec 25, 2024"
QA Engineer,https://www.rozee.pk/al-hadi-placement-services-qa-engineer-islamabad-faisalabad-lahore-peshawar-rawalpindi-abbottabad-attock-jobs-1559876?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559876&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,N/A,93 views,Posted Yesterday,Null,"Load Testing,Communication Skills,Manufacturing Software",Recruitment / Employment Firms,Quality Assurance (QA),15 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Lahore, Peshawar, Rawalpindi, Abbottabad, Attock",Male,Bachelors,Experienced Professional,3 Years,"Jan 26, 2025","Dec 25, 2024"
Telesales Representative,https://www.rozee.pk/etsilate-telesales-representative-faisalabad-jobs-1559636?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559636&utm_campaign=ROZEE.PK_job_search,Etsilate,//www.rozee.pk/company/etsilate,Faisalabad,"PKR. 25,000 - 50,000/Month",53 views,Posted 2 days ago,Null,"Communication Skills,Fluent in English,Telemarketing  Skills",Call Center,Telemarketing,5 Posts,First Shift (Day),Full Time/Permanent,Faisalabad,Female,Bachelors,Experienced Professional,N/A,"Jan 25, 2025","Dec 24, 2024"
Senior Officer / Fuel Station Incharge,https://www.rozee.pk/leading-petroleum-company-senior-officer-fuel-station-incharge-islamabadkarachifaisalabadhari-purmardantobatek-singh-jobs-1557078?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557078&utm_campaign=ROZEE.PK_job_search,Leading Petroleum Company,//www.rozee.pk/company/leading-petroleum-company,Multiple Cities,"PKR. 70,000 - 80,000/Month",2089 views,"Posted Dec 17, 2024",Null,"Managerial Skills,Operations Management,Record Keeping",Mining / Petroleum,Operations,5 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Mardan, Hari Pur, Tobatek Singh",Male,Bachelors,Experienced Professional,N/A,"Jan 01, 2025","Dec 17, 2024"
Project Manager,https://www.rozee.pk/al-hadi-placement-services-project-manager-islamabad-faisalabad-rawalpindi-abbottabad-attock-swabi-taxila-kashmir-jobs-1559748?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559748&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 200,000 - 350,000/Month",434 views,Posted 2 days ago,Null,"Coordination of Projects,Project Plans Management,Communication Skills",Recruitment / Employment Firms,Project Management,28 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Rawalpindi, Abbottabad, Attock, Swabi, Taxila, Kashmir",No Preference,Bachelors,Experienced Professional,4 Years,"Jan 25, 2025","Dec 24, 2024"
Assistant Manager Procurement,https://www.rozee.pk/nutrifactor-assistant-manager-procurement-faisalabad-jobs-1558972?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558972&utm_campaign=ROZEE.PK_job_search,Nutrifactor,//www.rozee.pk/company/nutrifactor,Faisalabad,"PKR. 50,000 - 100,000/Month",314 views,Posted 3 days ago,Null,"Procurement Knowledge,Purchase Procurement Knowledge,Negotiation Skills",Pharmaceuticals / Clinical Research,Procurement,1 Post,First Shift (Day),Full Time/Permanent,Faisalabad,No Preference,Bachelors,Experienced Professional,2 Years,"Jan 24, 2025","Dec 23, 2024"
Structural Engineer,https://www.rozee.pk/al-hadi-placement-services-structural-engineer-islamabad-faisalabad-lahore-rawalpindi-abbottabad-attock-swabi-taxila-jobs-1559726?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559726&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 200,000 - 400,000/Month",106 views,Posted 2 days ago,Null,"Engineering Drawing,Structural Analysis,Structural Engineering",Recruitment / Employment Firms,Architects & Construction,33 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Lahore, Rawalpindi, Abbottabad, Attock, Swabi, Taxila",No Preference,Bachelors,Experienced Professional,4 Years,"Jan 25, 2025","Dec 24, 2024"
Site Supervisor,https://www.rozee.pk/al-hadi-placement-services-site-supervisor-islamabad-faisalabad-rawalpindi-abbottabad-attock-swabi-taxila-kashmir-jobs-1559742?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559742&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 150,000 - 300,000/Month",420 views,Posted 2 days ago,Null,"Supervision Skills,Site Administration,Reporting Abilities",Recruitment / Employment Firms,Architects & Construction,10 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Rawalpindi, Abbottabad, Attock, Swabi, Taxila, Kashmir",No Preference,Intermediate/A-Level,Experienced Professional,4 Years,"Jan 25, 2025","Dec 24, 2024"
Customer Services Representative,https://www.rozee.pk/rapid-it-solution-customer-services-representative-faisalabad-jobs-1559468?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559468&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Hamdan IT Tech,//www.rozee.pk/company/hamdan-it-tech,Faisalabad,"PKR. 35,000 - 50,000/Month",307 views,Posted 2 days ago,Null,"Communication Skills,Fluent in English,Customer Services",BPO,Client Services & Customer Support,6 Posts,Third Shift (Night),Full Time/Permanent,Faisalabad,No Preference,Bachelors,Entry Level,Less than 1 Year,"Jan 25, 2025","Dec 24, 2024"
