Business Development Manager,https://www.rozee.pk/gcr-business-development-manager-gujranwala-jobs-1557020?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557020&utm_campaign=ROZEE.PK_job_search,GCR,//www.rozee.pk/company/gcr,Gujranwala,N/A,223 views,"Posted Dec 17, 2024",Null,"Supply Chain_Management,Communication Skills,Fluent in English,Experienced Sales Professional,Business Development Strategies",Construction / Cement / Metals,Sales & Business Development,1 Post,Work from Home,Full Time/Permanent,Gujranwala,Male,Bachelors,Experienced Professional,3 Years,"Jan 17, 2025","Dec 17, 2024"
Sales / Business Development Manager,https://www.rozee.pk/ease-international-sales-business-development-manager-all-cities-jobs-1558722?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558722&utm_campaign=ROZEE.PK_job_search,Ease International,//www.rozee.pk/company/ease-international,All Cities,N/A,1942 views,Posted 4 days ago,Null,"Sales Management,Sales Automation,Business Development Process,Coordination Skills",Business Development,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,All Cities,No Preference,Masters,Experienced Professional,N/A,"Jan 22, 2025","Dec 22, 2024"
Junior Accountant,https://www.rozee.pk/ilyas-group-of-industries-limited-junior-accountant-gujranwala-jobs-1558592?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558592&utm_campaign=ROZEE.PK_job_search,Ilyas Group Of Industries Limited,//www.rozee.pk/company/ilyas-group-of-industries-limited,Gujranwala,"PKR. 15,000 - 20,000/Month",362 views,Posted 5 days ago,Null,"Mannual Working,Admin Operations Management,Communication Skills",Manufacturing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,Gujranwala,Male,Intermediate/A-Level,Entry Level,Fresh (Accounting and finance),"Jan 22, 2025","Dec 21, 2024"
Teller,https://www.rozee.pk/ravi-group-of-companies-teller-islamabad-faisalabad-gujranwala-lahore-multan-rawalpindi-jobs-1557964?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557964&utm_campaign=ROZEE.PK_job_search,Ravi Group of Companies,//www.rozee.pk/company/ravi-group-of-companies,Multiple Cities,"PKR. 30,000 - 35,000/Month",2222 views,"Posted Dec 19, 2024",Null,"Cash Handling,Transaction Record Management,Teller Operations Handling",Banking/Financial Services,"Accounts, Finance & Financial Services",5 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Gujranwala, Lahore, Multan, Rawalpindi",No Preference,Intermediate/A-Level,Experienced Professional,N/A,"Jan 02, 2025","Dec 19, 2024"
Social Media Executive,https://www.rozee.pk/elite-enterprises-social-media-executive-gujranwala-jobs-1556068?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1556068&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Elite Enterprises,//www.rozee.pk/company/elite-enterprises1,Gujranwala,"PKR. 20,000 - 25,000/Month",198 views,Posted 6 days ago,Null,"Communication Skills,Adobe Illustrator,Social Media Optimization",Construction / Cement / Metals,Marketing,1 Post,First Shift (Day),Full Time/Permanent,Gujranwala,Male,Bachelors,Entry Level,N/A,"Jan 14, 2025","Dec 20, 2024"
Sales Executive,https://www.rozee.pk/ilyas-group-of-industries-limited-sales-executive-gujranwala-jobs-1556446?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1556446&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Ilyas Group Of Industries Limited,//www.rozee.pk/company/ilyas-group-of-industries-limited,Gujranwala,"PKR. 20,000 - 40,000/Month",171 views,"Posted Dec 14, 2024",Null,"Business Recovery Planning,Field Work,Sales Automation,Communication Skills",Manufacturing,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,Gujranwala,Male,Bachelors,Experienced Professional,N/A,"Jan 15, 2025","Dec 14, 2024"
SEO /  Google Ads Expert,https://www.rozee.pk/uzlogic-seo-google-ads-expert-gujranwala-jobs-1558566?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558566&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Uzlogic,//www.rozee.pk/company/uzlogic,Gujranwala,"PKR. 30,000 - 50,000/Month",84 views,Posted 5 days ago,Null,"Google Analytics,SEO Submission,SEOMoz,SEO Audits,SEO Engine Ranking,Contract Closeout",Information Technology,Search Engine Optimization (SEO),2 Posts,First Shift (Day),Full Time/Permanent,Gujranwala,No Preference,Short Course,Entry Level,Less than 1 Year,"Jan 22, 2025","Dec 21, 2024"
Manager planning,https://www.rozee.pk/style-textile-manager-planning-jobs-1558556?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558556&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Style Textile,//www.rozee.pk/company/style-textile-2,Islamabad,N/A,193 views,Posted 6 days ago,Null,"Strategic Planning,Leadership,Communication,Budgeting,Analytical Thinking,Problem Solving,Decision Making,Project Management,Time Management,Negotiation",N/A,N/A,1 Post,N/A,Full Time/Permanent,"Islamabad, Faisalabad, Gujranwala, Lahore",No Preference,N/A,N/A,5 Years,"Jan 21, 2025","Dec 20, 2024"
Relationship Manager SME,https://www.rozee.pk/mobilink-micro-finance-relationship-manager-sme-jobs-1558474.php?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558474&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Mobilink Bank,//www.rozee.pk/company/mobilink-bank1,Gujranwala,N/A,197 views,Posted 6 days ago,Null,,Banking/Financial Services,N/A,1  Post,N/A,Full Time/Permanent,Gujranwala,No Preference,N/A,N/A,N/A,"Dec 28, 2024","Dec 20, 2024"
Area Sales Manager,https://www.rozee.pk/time-2-grow-pvt-ltd-area-sales-manager-gujranwala-lahore-multan-rawalpindi-okara-jobs-1558310?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558310&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Time 2 Grow Pvt Ltd,//www.rozee.pk/company/time-2-grow-pvt-ltd,Multiple Cities,"PKR. 60,000 - 100,000/Month",679 views,Posted 6 days ago,Null,"Sales Management,Retail Sales,Distribution Handling,Communication Skills",Fast Moving Consumer Goods (FMCG),Sales & Business Development,4 Posts,First Shift (Day),Contract,"Gujranwala, Lahore, Multan, Rawalpindi, Okara",No Preference,Bachelors,Experienced Professional,4 Years,"Jan 11, 2025","Dec 20, 2024"
