Steel / Pipe Fitter,https://www.rozee.pk/al-hadi-placement-services-steel-pipe-fitter-islamabad-faisalabad-peshawar-rawalpindi-abbottabad-attock-swabi-taxila-jobs-1559888?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559888&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,N/A,55 views,Posted 7 hours ago,Null,"Steel Structures Knowledge,Pipes Maintenance,Installing Skills",Recruitment / Employment Firms,Maintenance/Repair,20 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Peshawar, Rawalpindi, Abbottabad, Attock, Swabi, Taxila",Male,Diploma,Experienced Professional,5 Years,"Jan 26, 2025","Dec 26, 2024"
Quality Control Executive -  Painting,https://www.rozee.pk/al-hadi-placement-services-quality-control-executive-painting-islamabad-lahore-rawalpindi-abbottabad-attock-swabi-jobs-1559902?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559902&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,N/A,76 views,Posted 7 hours ago,Null,"Coating Procedures,Inspection Activities,Communication Skills",Recruitment / Employment Firms,Quality Control,20 Posts,First Shift (Day),Contract,"Islamabad, Lahore, Rawalpindi, Abbottabad, Attock, Swabi",Male,Bachelors,Experienced Professional,4 Years,"Jan 26, 2025","Dec 26, 2024"
Virtual Assistant - Amazon PL,https://www.rozee.pk/the-assistrix-virtual-assistant-amazon-pl-islamabad-faisalabad-karachi-lahore-rawalpindi-jobs-1559778?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559778&utm_campaign=ROZEE.PK_job_search,The Assistrix,//www.rozee.pk/company/the-assistrix,Multiple Cities,"PKR. 20,000 - 30,000/Month",115 views,Posted 20 hours ago,Null,"Keyword Research Skills,SEO,Communication Skills,Digital Marketing Analysis",E-Commerce / E- Business,Sales & Business Development,1 Post,Rotating,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Rawalpindi",No Preference,Diploma,Entry Level,Less than 1 Year,"Jan 25, 2025","Dec 25, 2024"
Virtual Assistant - Amazon Wholesale,https://www.rozee.pk/the-assistrix-virtual-assistant-amazon-wholesale-islamabad-faisalabad-karachi-lahore-rawalpindi-jobs-1559774?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559774&utm_campaign=ROZEE.PK_job_search,The Assistrix,//www.rozee.pk/company/the-assistrix,Multiple Cities,"PKR. 20,000 - 30,000/Month",207 views,Posted 20 hours ago,Null,"Amazon FBA Knowledge,Product Hunting,Amazon Listing Creation,Competitor Analysis",E-Commerce / E- Business,Sales & Business Development,1 Post,Rotating,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Rawalpindi",No Preference,Short Course,Entry Level,Less than 1 Year,"Jan 25, 2025","Dec 25, 2024"
Sales / Marketing Specialist,https://www.rozee.pk/astramd-sales-marketing-specialist-islamabad-karachi-lahore-peshawar-rawalpindi-abbottabad-jobs-1551828?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1551828&utm_campaign=ROZEE.PK_job_search,Astra MD,//www.rozee.pk/company/astra-md,Multiple Cities,"PKR. 70,000 - 125,000/Month",687 views,"Posted Dec 02, 2024",Null,"Negotiation Skills,Time Management Skills,Telemarketing  Skills,Fluent in English,Presentation Skills,Communication Skills,Digital Marketing Insight,CRM Tools",Information Technology,Marketing,2 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Karachi, Lahore, Peshawar, Rawalpindi, Abbottabad",No Preference,Bachelors,Experienced Professional,2 Years,"Jan 02, 2025","Dec 02, 2024"
Crane Operator,https://www.rozee.pk/al-hadi-placement-services-crane-operator-islamabad-peshawar-rawalpindi-abbottabad-attock-swabi-taxila-jobs-1559880?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559880&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 100,000 - 250,000/Month",139 views,Posted Yesterday,Null,"Load Testing,Crane Operations,Overhead Cranes",Recruitment / Employment Firms,Operations,18 Posts,First Shift (Day),Contract,"Islamabad, Peshawar, Rawalpindi, Abbottabad, Attock, Swabi, Taxila",Male,Diploma,Experienced Professional,3 Years,"Jan 26, 2025","Dec 25, 2024"
Accountant,https://www.rozee.pk/al-hadi-placement-services-accountant-islamabad-lahore-rawalpindi-abbottabad-attock-kohat-swabi-jobs-1559884?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559884&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 200,000 - 350,000/Month",451 views,Posted 21 hours ago,Null,"Financial Risk Management,Financial Accounting,Financial Service Management",Recruitment / Employment Firms,"Accounts, Finance & Financial Services",15 Posts,First Shift (Day),Contract,"Islamabad, Lahore, Rawalpindi, Abbottabad, Attock, Kohat, Swabi",Male,Bachelors,Experienced Professional,7 Years,"Jan 26, 2025","Dec 25, 2024"
Land Surveyor,https://www.rozee.pk/al-hadi-placement-services-land-surveyor-islamabad-faisalabad-peshawar-rawalpindi-abbottabad-attock-taxila-jobs-1559898?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559898&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,"PKR. 200,000 - 350,000/Month",130 views,Posted 20 hours ago,Null,"Digital Mapping,Problem Solving Skills,Mathematical Skills",Recruitment / Employment Firms,Engineering,19 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Peshawar, Rawalpindi, Abbottabad, Attock, Taxila",Male,Bachelors,Experienced Professional,4 Years,"Jan 26, 2025","Dec 25, 2024"
QA Engineer,https://www.rozee.pk/al-hadi-placement-services-qa-engineer-islamabad-faisalabad-lahore-peshawar-rawalpindi-abbottabad-attock-jobs-1559876?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559876&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,N/A,89 views,Posted Yesterday,Null,"Load Testing,Communication Skills,Manufacturing Software",Recruitment / Employment Firms,Quality Assurance (QA),15 Posts,First Shift (Day),Contract,"Islamabad, Faisalabad, Lahore, Peshawar, Rawalpindi, Abbottabad, Attock",Male,Bachelors,Experienced Professional,3 Years,"Jan 26, 2025","Dec 25, 2024"
Heat Treatment Technician,https://www.rozee.pk/al-hadi-placement-services-heat-treatment-technician-islamabad-lahore-peshawar-rawalpindi-abbottabad-attock-swabi-taxila-jobs-1559878?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1559878&utm_campaign=ROZEE.PK_job_search,Al Hadi Placement Services,//www.rozee.pk/company/al-hadi-placement-services,Multiple Cities,N/A,102 views,Posted Yesterday,Null,"Coordination Skills,Load Equipment,Communication Skills",Recruitment / Employment Firms,Industrial Production,15 Posts,First Shift (Day),Contract,"Islamabad, Lahore, Peshawar, Rawalpindi, Abbottabad, Attock, Swabi, Taxila",Male,Intermediate/A-Level,Experienced Professional,3 Years,"Jan 26, 2025","Dec 25, 2024"
