Regional Business Manager,https://www.rozee.pk/mobilink-bank-regional-business-manager-multansahiwalsargodha-jobs-1558260?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1558260&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Mobilink Bank,//www.rozee.pk/company/mobilink-bank1,Multiple Cities,"PKR. 200,000 - 250,000/Month",1002 views,Posted 6 days ago,Null,"Bank Reconciliation,Sales Management,Financial Accounting",Banking/Financial Services,"Accounts, Finance & Financial Services",3 Posts,First Shift (Day),Full Time/Permanent,"Multan, Sargodha, Sahiwal",No Preference,Bachelors,Experienced Professional,5 Years,"Dec 25, 2024","Dec 20, 2024"
Office Representative,https://www.rozee.pk/sungrow-power-office-representative-multan-jobs-1556362?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1556362&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,SunGrow Power,//www.rozee.pk/company/sungrow-power,Multan,"PKR. 40,000 - 80,000/Month",1331 views,"Posted Dec 14, 2024",Null,"Front Office Support,MS Excel,Client Dealing,Customer Follow up Skills,Customer Support,Call Processing",Services,Client Services & Customer Support,3 Posts,First Shift (Day),Full Time/Permanent,Multan,Female,Intermediate/A-Level,Entry Level,Fresh,"Jan 15, 2025","Dec 14, 2024"
Paid Internship - Digital Marketing,https://www.rozee.pk/conjoint-media-paid-internship-digital-marketing-multan-jobs-1557802?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557802&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Conjoint Media,//www.rozee.pk/company/conjoint-media,Multan,"PKR. 10,000 - 15,000/Month",287 views,"Posted Dec 19, 2024",Null,"Social Media Knowledge,MS Office,Communication Skills",Information Technology,Marketing,10 Posts,First Shift (Day),Internship,Multan,Female,Intermediate/A-Level,Intern/Student,Fresh,"Jan 20, 2025","Dec 19, 2024"
Senior IT Engineer,https://www.rozee.pk/it-serve-group-senior-it-engineer-islamabad-faisalabad-karachi-lahore-multan-peshawar-jobs-1557896?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557896&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,IT Serve Group,//www.rozee.pk/company/it-serve-group,Multiple Cities,"PKR. 175,000 - 200,000/Month",670 views,"Posted Dec 19, 2024",Null,"Computer Systems Maintenance,Computer Hardware Installation,Computer Network Operations",Information Technology,Computer Networking,2 Posts,Work from Home,Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Multan, Peshawar",No Preference,Bachelors,Experienced Professional,3 Years,"Jan 20, 2025","Dec 19, 2024"
Laravel Developer,https://www.rozee.pk/conjoint-media-laravel-developer-islamabad-faisalabad-karachi-lahore-multan-bahawalpur-jobs-1557806?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557806&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Conjoint Media,//www.rozee.pk/company/conjoint-media,Multiple Cities,"PKR. 60,000 - 100,000/Month",229 views,"Posted Dec 19, 2024",Null,"CRM Development,PHP,Laravel Development",Information Technology,Software & Web Development,2 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Karachi, Lahore, Multan, Bahawalpur",No Preference,Bachelors,Experienced Professional,3 Years,"Jan 20, 2025","Dec 19, 2024"
WordPress Plugin Developer,https://www.rozee.pk/goat-is-marketing-wordpress-plugin-developer-multan-jobs-1557424?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557424&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Goat Is Marketing,//www.rozee.pk/company/goat-is-marketing,Multan,"PKR. 25,000 - 60,000/Month",122 views,"Posted Dec 18, 2024",Null,"CSS3,HTML,Javascript,PHP and Laravel,Native PHP",Information Technology,Software & Web Development,1 Post,Second Shift (Afternoon),Full Time/Permanent,Multan,No Preference,Intermediate/A-Level,Entry Level,1 Year,"Jan 19, 2025","Dec 18, 2024"
Story Narrator,https://www.rozee.pk/micro-world-story-narrator-islamabad-karachi-multan-rawalpindi-bahawalpur-jobs-1557470?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557470&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Micro World,//www.rozee.pk/company/micro-world,Multiple Cities,"PKR. 20,000 - 100,000/Month",449 views,"Posted Dec 18, 2024",Null,"English Grammar,Fluent in English,Manga,Ai Tools",Information Technology,Writer,10 Posts,Work from Home,Full Time/Permanent,"Islamabad, Karachi, Multan, Rawalpindi, Bahawalpur",No Preference,Intermediate/A-Level,Entry Level,Less than 1 Year,"Jan 19, 2025","Dec 18, 2024"
Software Developer,https://www.rozee.pk/kairos-business-solutions-pte-ltd-software-developer-islamabad-faisalabad-gujranwala-hyderabad-karachi-lahore-multan-peshawar-jobs-1550678?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1550678&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Kairos Business Solutions Pte Ltd,//www.rozee.pk/company/kairos-business-solutions-pte-ltd,Multiple Cities,"PKR. 100,000 - 250,000/Month",398 views,"Posted Dec 18, 2024",Null,".Net,C,#MS SQL,WinForms,SSRS",Information Technology,Software & Web Development,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Gujranwala, Hyderabad, Karachi, Lahore, Multan, Peshawar",No Preference,Bachelors,Experienced Professional,3 Years,"Dec 27, 2024","Dec 18, 2024"
Backend Developer,https://www.rozee.pk/stars-mux-backend-developer-multan-jobs-1557292?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557292&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Stars MUX,//www.rozee.pk/company/stars-mux,Multan,"PKR. 50,000 - 60,000/Month",92 views,"Posted Dec 17, 2024",Null,"Troubleshooting Backend Systems,Performance Optimization,Version Control Systems,API Development And Integration,Database Management,CD Pipelines,PHP CodeIgniter",Information Technology,Software & Web Development,1 Post,First Shift (Day),Full Time/Permanent,Multan,No Preference,Intermediate/A-Level,Experienced Professional,N/A,"Jan 18, 2025","Dec 17, 2024"
SEO / Content Writer,https://www.rozee.pk/dee-designers-smc-pvt-limited-seo-content-writer-multan-jobs-1557306?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1557306&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Dee Designers,//www.rozee.pk/company/dee-designers1,Multan,"PKR. 30,000 - 80,000/Month",155 views,"Posted Dec 17, 2024",Null,"Content Writing,SEO Ranking,SEO Submission",Information Technology,Writer,5 Posts,First Shift (Day),Full Time/Permanent,Multan,No Preference,Bachelors,Experienced Professional,3 Years,"Jan 18, 2025","Dec 17, 2024"
